NAME,GDP
Connecticut,"278,976"
Maine,"73,036"
Massachusetts,"608,053"
New Hampshire,"91,416"
Rhode Island,"62,279"
Vermont,"34,753"
Delaware,"77,149"
District of Columbia,"144,555"
Maryland,"416,406"
New Jersey,"650,236"
New York,"1,765,102"
Pennsylvania,"779,361"
Illinois,"876,536"
Indiana,"399,281"
Michigan,"543,721"
Ohio,"695,258"
Wisconsin,"339,748"
Iowa,"201,580"
Kansas,"177,470"
Minnesota,"384,728"
Missouri,"339,652"
Nebraska,"139,441"
North Dakota,"55,988"
South Dakota,"55,260"
Alabama,"238,556"
Arkansas,"139,561"
Florida,"1,239,884"
Georgia,"665,678"
Kentucky,"219,756"
Louisiana,"236,854"
Mississippi,"116,557"
North Carolina,"619,537"
South Carolina,"254,504"
Tennessee,"414,471"
Virginia,"580,475"
West Virginia,"77,188"
Arizona,"410,228"
New Mexico,"103,302"
Oklahoma,"193,940"
Texas,"1,952,709"
Colorado,"418,819"
Idaho,"92,904"
Montana,"55,194"
Utah,"217,442"
Wyoming,"37,827"
Alaska,"50,767"
California,"3,184,008"
Hawaii,"86,888"
Nevada,"190,463"
Oregon,"256,063"
Washington,"644,075"
